id,hub_station_id,borne_id,heure_debut,heure_fin,kwh_consommes,origine,statut
session_47,hub_casablanca,hub_casablanca_borne_5,2025-01-11 13:22:00,2025-01-11 14:30:00,15.4,walk_in,terminee
session_48,hub_casablanca,hub_casablanca_borne_6,2025-01-11 19:19:00,2025-01-11 20:16:00,34.7,walk_in,terminee
session_49,hub_casablanca,hub_casablanca_borne_1,2025-01-11 16:31:00,2025-01-11 17:35:00,15.1,walk_in,terminee
session_50,hub_casablanca,hub_casablanca_borne_2,2025-01-11 16:50:00,2025-01-11 17:19:00,26.5,reservee,terminee
session_51,hub_casablanca,hub_casablanca_borne_2,2025-01-11 19:04:00,2025-01-11 20:29:00,9.8,walk_in,terminee
session_52,hub_casablanca,hub_casablanca_borne_5,2025-01-12 17:33:00,2025-01-12 18:25:00,23.3,walk_in,terminee
session_53,hub_casablanca,hub_casablanca_borne_5,2025-01-12 15:29:00,2025-01-12 16:30:00,37.6,reservee,terminee
session_54,hub_casablanca,hub_casablanca_borne_1,2025-01-12 18:38:00,2025-01-12 19:27:00,32.1,walk_in,terminee
session_55,hub_casablanca,hub_casablanca_borne_4,2025-01-12 17:53:00,2025-01-12 19:06:00,14.5,reservee,terminee
session_56,hub_casablanca,hub_casablanca_borne_2,2025-01-12 13:08:00,2025-01-12 14:33:00,20.3,reservee,terminee
session_57,hub_casablanca,hub_casablanca_borne_1,2025-01-12 18:32:00,2025-01-12 19:57:00,32.3,reservee,terminee
session_58,hub_casablanca,hub_casablanca_borne_3,2025-01-12 17:42:00,2025-01-12 19:08:00,9.1,walk_in,terminee
session_59,hub_casablanca,hub_casablanca_borne_1,2025-01-12 13:07:00,2025-01-12 14:08:00,29.0,reservee,terminee
session_60,hub_casablanca,hub_casablanca_borne_3,2025-01-13 19:46:00,2025-01-13 20:13:00,39.9,walk_in,terminee
session_61,hub_casablanca,hub_casablanca_borne_1,2025-01-13 16:49:00,2025-01-13 17:16:00,40.0,walk_in,terminee
session_62,hub_casablanca,hub_casablanca_borne_4,2025-01-13 20:52:00,2025-01-13 21:14:00,13.4,reservee,terminee
session_63,hub_casablanca,hub_casablanca_borne_1,2025-01-13 18:11:00,2025-01-13 19:34:00,28.0,reservee,terminee
session_64,hub_casablanca,hub_casablanca_borne_1,2025-01-14 10:03:00,2025-01-14 11:19:00,37.5,walk_in,terminee
session_65,hub_casablanca,hub_casablanca_borne_5,2025-01-14 21:49:00,2025-01-14 22:11:00,12.1,reservee,terminee
session_66,hub_casablanca,hub_casablanca_borne_4,2025-01-14 22:37:00,2025-01-14 23:56:00,10.4,walk_in,terminee
session_67,hub_casablanca,hub_casablanca_borne_3,2025-01-15 14:02:00,2025-01-15 15:23:00,29.8,reservee,terminee
session_68,hub_casablanca,hub_casablanca_borne_1,2025-01-15 16:57:00,2025-01-15 17:49:00,32.4,walk_in,terminee
session_69,hub_casablanca,hub_casablanca_borne_4,2025-01-15 18:08:00,2025-01-15 19:34:00,15.5,reservee,terminee
session_70,hub_casablanca,hub_casablanca_borne_5,2025-01-15 17:55:00,2025-01-15 18:25:00,22.8,reservee,terminee
session_71,hub_casablanca,hub_casablanca_borne_4,2025-01-15 22:07:00,2025-01-15 22:36:00,14.7,reservee,terminee
session_72,hub_casablanca,hub_casablanca_borne_3,2025-01-16 11:18:00,2025-01-16 11:40:00,19.6,reservee,terminee
session_73,hub_casablanca,hub_casablanca_borne_4,2025-01-16 21:33:00,2025-01-16 22:32:00,29.6,walk_in,terminee
session_74,hub_casablanca,hub_casablanca_borne_4,2025-01-16 19:46:00,2025-01-16 20:44:00,20.1,walk_in,terminee
session_75,hub_casablanca,hub_casablanca_borne_6,2025-01-16 22:30:00,2025-01-16 23:41:00,36.0,walk_in,terminee
session_76,hub_casablanca,hub_casablanca_borne_4,2025-01-17 19:49:00,2025-01-17 20:12:00,14.8,reservee,terminee
session_77,hub_casablanca,hub_casablanca_borne_5,2025-01-17 17:18:00,2025-01-17 18:29:00,5.5,walk_in,terminee
session_78,hub_casablanca,hub_casablanca_borne_6,2025-01-17 22:09:00,2025-01-17 23:11:00,9.2,reservee,terminee
session_79,hub_casablanca,hub_casablanca_borne_1,2025-01-17 16:58:00,2025-01-17 18:12:00,15.9,walk_in,terminee
session_80,hub_casablanca,hub_casablanca_borne_5,2025-01-17 17:37:00,2025-01-17 17:57:00,12.3,reservee,terminee
session_81,hub_casablanca,hub_casablanca_borne_3,2025-01-18 18:23:00,2025-01-18 18:48:00,31.4,reservee,terminee
session_82,hub_casablanca,hub_casablanca_borne_3,2025-01-18 12:10:00,2025-01-18 13:33:00,6.6,reservee,terminee
session_83,hub_casablanca,hub_casablanca_borne_2,2025-01-18 15:28:00,2025-01-18 16:29:00,22.3,reservee,terminee
session_84,hub_casablanca,hub_casablanca_borne_2,2025-01-18 11:37:00,2025-01-18 12:42:00,28.5,walk_in,terminee
session_85,hub_casablanca,hub_casablanca_borne_2,2025-01-18 14:21:00,2025-01-18 15:18:00,16.8,walk_in,terminee
session_86,hub_casablanca,hub_casablanca_borne_3,2025-01-18 14:50:00,2025-01-18 15:45:00,36.8,reservee,terminee
session_87,hub_casablanca,hub_casablanca_borne_1,2025-01-18 10:20:00,2025-01-18 11:14:00,23.6,reservee,terminee
session_88,hub_casablanca,hub_casablanca_borne_3,2025-01-19 12:26:00,2025-01-19 13:07:00,25.9,reservee,terminee
session_89,hub_casablanca,hub_casablanca_borne_6,2025-01-19 14:41:00,2025-01-19 15:45:00,39.4,walk_in,terminee
session_90,hub_casablanca,hub_casablanca_borne_3,2025-01-19 13:53:00,2025-01-19 15:03:00,38.7,walk_in,terminee
session_91,hub_casablanca,hub_casablanca_borne_6,2025-01-19 10:06:00,2025-01-19 11:17:00,20.4,reservee,terminee
session_92,hub_casablanca,hub_casablanca_borne_4,2025-01-19 18:58:00,2025-01-19 19:38:00,30.7,walk_in,terminee
session_93,hub_casablanca,hub_casablanca_borne_2,2025-01-20 16:28:00,2025-01-20 17:56:00,21.3,walk_in,terminee
session_94,hub_casablanca,hub_casablanca_borne_3,2025-01-20 16:05:00,2025-01-20 17:03:00,33.1,walk_in,terminee
session_95,hub_casablanca,hub_casablanca_borne_1,2025-01-21 19:06:00,2025-01-21 20:13:00,30.0,walk_in,terminee
session_96,hub_casablanca,hub_casablanca_borne_6,2025-01-21 14:47:00,2025-01-21 15:10:00,13.2,walk_in,terminee
session_97,hub_casablanca,hub_casablanca_borne_4,2025-01-22 18:39:00,2025-01-22 19:01:00,19.0,walk_in,terminee
session_98,hub_casablanca,hub_casablanca_borne_5,2025-01-23 12:23:00,2025-01-23 13:02:00,36.0,reservee,terminee
session_99,hub_casablanca,hub_casablanca_borne_4,2025-01-23 19:20:00,2025-01-23 20:30:00,33.3,walk_in,terminee
session_100,hub_casablanca,hub_casablanca_borne_2,2025-01-23 16:08:00,2025-01-23 17:08:00,39.9,walk_in,terminee
session_101,hub_casablanca,hub_casablanca_borne_1,2025-01-23 12:23:00,2025-01-23 13:47:00,22.4,reservee,terminee
session_102,hub_casablanca,hub_casablanca_borne_3,2025-01-24 18:26:00,2025-01-24 19:30:00,17.0,reservee,terminee
session_103,hub_casablanca,hub_casablanca_borne_3,2025-01-25 14:17:00,2025-01-25 14:53:00,16.3,reservee,terminee
session_104,hub_casablanca,hub_casablanca_borne_6,2025-01-25 15:33:00,2025-01-25 16:48:00,32.4,reservee,terminee
session_105,hub_casablanca,hub_casablanca_borne_2,2025-01-25 15:58:00,2025-01-25 17:05:00,33.5,walk_in,terminee
session_106,hub_casablanca,hub_casablanca_borne_5,2025-01-25 12:33:00,2025-01-25 13:00:00,27.9,walk_in,terminee
session_107,hub_casablanca,hub_casablanca_borne_2,2025-01-25 14:25:00,2025-01-25 14:47:00,38.6,reservee,terminee
session_108,hub_casablanca,hub_casablanca_borne_1,2025-01-25 07:03:00,2025-01-25 07:54:00,23.1,reservee,terminee
session_109,hub_casablanca,hub_casablanca_borne_3,2025-01-25 13:06:00,2025-01-25 13:52:00,7.1,walk_in,terminee
session_110,hub_casablanca,hub_casablanca_borne_2,2025-01-25 15:23:00,2025-01-25 16:12:00,5.1,reservee,terminee
session_111,hub_casablanca,hub_casablanca_borne_3,2025-01-25 10:00:00,2025-01-25 10:55:00,22.1,reservee,terminee
session_112,hub_casablanca,hub_casablanca_borne_3,2025-01-25 12:49:00,2025-01-25 13:27:00,16.3,reservee,terminee
session_113,hub_casablanca,hub_casablanca_borne_1,2025-01-26 10:41:00,2025-01-26 11:11:00,6.7,reservee,terminee
session_114,hub_casablanca,hub_casablanca_borne_6,2025-01-26 14:11:00,2025-01-26 14:33:00,8.9,walk_in,terminee
session_115,hub_casablanca,hub_casablanca_borne_2,2025-01-26 17:33:00,2025-01-26 18:34:00,34.7,reservee,terminee
session_116,hub_casablanca,hub_casablanca_borne_6,2025-01-26 19:09:00,2025-01-26 20:23:00,34.9,reservee,terminee
session_117,hub_casablanca,hub_casablanca_borne_5,2025-01-26 13:26:00,2025-01-26 14:28:00,39.5,reservee,terminee
session_118,hub_casablanca,hub_casablanca_borne_5,2025-01-27 20:04:00,2025-01-27 20:26:00,17.1,reservee,terminee
session_119,hub_casablanca,hub_casablanca_borne_1,2025-01-27 16:42:00,2025-01-27 17:51:00,30.9,reservee,terminee
session_120,hub_casablanca,hub_casablanca_borne_6,2025-01-27 22:07:00,2025-01-27 22:37:00,29.3,reservee,terminee
session_121,hub_casablanca,hub_casablanca_borne_4,2025-01-27 18:58:00,2025-01-27 19:18:00,5.6,walk_in,terminee
session_122,hub_casablanca,hub_casablanca_borne_4,2025-01-28 15:35:00,2025-01-28 16:15:00,28.2,walk_in,terminee
session_123,hub_casablanca,hub_casablanca_borne_4,2025-01-28 17:35:00,2025-01-28 18:11:00,35.6,reservee,terminee
session_124,hub_casablanca,hub_casablanca_borne_4,2025-01-28 14:23:00,2025-01-28 15:30:00,30.4,reservee,terminee
session_125,hub_casablanca,hub_casablanca_borne_1,2025-01-28 17:58:00,2025-01-28 18:47:00,23.0,reservee,terminee
session_126,hub_casablanca,hub_casablanca_borne_5,2025-01-28 18:24:00,2025-01-28 18:50:00,36.1,reservee,terminee
session_127,hub_casablanca,hub_casablanca_borne_6,2025-01-29 22:50:00,2025-01-30 00:13:00,12.4,reservee,terminee
session_128,hub_casablanca,hub_casablanca_borne_5,2025-01-29 18:22:00,2025-01-29 19:18:00,31.0,walk_in,terminee
session_129,hub_casablanca,hub_casablanca_borne_6,2025-01-29 19:33:00,2025-01-29 20:00:00,36.6,walk_in,terminee
session_130,hub_casablanca,hub_casablanca_borne_5,2025-01-30 16:57:00,2025-01-30 17:43:00,30.2,walk_in,terminee
session_131,hub_casablanca,hub_casablanca_borne_1,2025-01-30 18:18:00,2025-01-30 19:20:00,25.3,reservee,terminee
session_132,hub_casablanca,hub_casablanca_borne_4,2025-01-31 18:09:00,2025-01-31 19:16:00,16.9,walk_in,terminee
session_133,hub_casablanca,hub_casablanca_borne_3,2025-01-31 15:05:00,2025-01-31 16:17:00,35.8,reservee,terminee
session_134,hub_casablanca,hub_casablanca_borne_2,2025-01-31 13:30:00,2025-01-31 14:22:00,14.1,reservee,terminee
session_135,hub_casablanca,hub_casablanca_borne_2,2025-01-31 14:56:00,2025-01-31 16:01:00,22.3,reservee,terminee
session_136,hub_casablanca,hub_casablanca_borne_2,2025-02-01 17:32:00,2025-02-01 17:58:00,34.6,walk_in,terminee
session_137,hub_casablanca,hub_casablanca_borne_3,2025-02-01 12:09:00,2025-02-01 12:46:00,10.6,walk_in,terminee
session_138,hub_casablanca,hub_casablanca_borne_4,2025-02-01 11:17:00,2025-02-01 12:02:00,19.2,walk_in,terminee
session_139,hub_casablanca,hub_casablanca_borne_5,2025-02-01 13:12:00,2025-02-01 14:37:00,9.2,walk_in,terminee
session_140,hub_casablanca,hub_casablanca_borne_1,2025-02-01 14:49:00,2025-02-01 15:21:00,19.5,reservee,terminee
session_141,hub_casablanca,hub_casablanca_borne_4,2025-02-01 12:41:00,2025-02-01 14:00:00,35.6,reservee,terminee
session_142,hub_casablanca,hub_casablanca_borne_4,2025-02-01 18:14:00,2025-02-01 18:45:00,37.9,walk_in,terminee
session_143,hub_casablanca,hub_casablanca_borne_5,2025-02-01 12:30:00,2025-02-01 13:24:00,23.5,reservee,terminee
session_144,hub_casablanca,hub_casablanca_borne_3,2025-02-02 15:12:00,2025-02-02 15:49:00,6.1,reservee,terminee
session_145,hub_casablanca,hub_casablanca_borne_4,2025-02-02 14:18:00,2025-02-02 15:20:00,21.3,reservee,terminee
session_146,hub_casablanca,hub_casablanca_borne_4,2025-02-02 15:58:00,2025-02-02 17:15:00,31.0,reservee,terminee
session_147,hub_casablanca,hub_casablanca_borne_1,2025-02-02 15:54:00,2025-02-02 16:37:00,6.8,reservee,terminee
session_148,hub_casablanca,hub_casablanca_borne_5,2025-02-02 20:44:00,2025-02-02 21:59:00,12.4,walk_in,terminee
session_149,hub_casablanca,hub_casablanca_borne_3,2025-02-03 13:16:00,2025-02-03 13:40:00,21.0,reservee,terminee
session_150,hub_casablanca,hub_casablanca_borne_1,2025-02-03 17:23:00,2025-02-03 18:47:00,16.2,walk_in,terminee
session_151,hub_casablanca,hub_casablanca_borne_5,2025-02-04 20:49:00,2025-02-04 21:11:00,20.7,walk_in,terminee
session_152,hub_casablanca,hub_casablanca_borne_5,2025-02-04 19:31:00,2025-02-04 20:37:00,15.6,walk_in,terminee
session_153,hub_casablanca,hub_casablanca_borne_4,2025-02-04 22:43:00,2025-02-04 23:31:00,24.7,walk_in,terminee
session_154,hub_casablanca,hub_casablanca_borne_4,2025-02-04 18:24:00,2025-02-04 19:29:00,17.0,reservee,terminee
session_155,hub_casablanca,hub_casablanca_borne_5,2025-02-04 19:07:00,2025-02-04 19:33:00,28.4,walk_in,terminee
session_156,hub_casablanca,hub_casablanca_borne_4,2025-02-04 19:19:00,2025-02-04 19:52:00,32.2,walk_in,terminee
session_157,hub_casablanca,hub_casablanca_borne_6,2025-02-05 16:16:00,2025-02-05 17:23:00,36.9,reservee,terminee
session_158,hub_casablanca,hub_casablanca_borne_4,2025-02-05 11:56:00,2025-02-05 12:58:00,13.9,walk_in,terminee
session_159,hub_casablanca,hub_casablanca_borne_4,2025-02-05 21:57:00,2025-02-05 22:44:00,29.0,reservee,terminee
session_160,hub_casablanca,hub_casablanca_borne_3,2025-02-06 18:19:00,2025-02-06 18:56:00,36.9,walk_in,terminee
session_161,hub_casablanca,hub_casablanca_borne_1,2025-02-06 15:57:00,2025-02-06 17:09:00,31.8,walk_in,terminee
session_162,hub_casablanca,hub_casablanca_borne_3,2025-02-06 13:14:00,2025-02-06 14:19:00,15.1,reservee,terminee
session_163,hub_casablanca,hub_casablanca_borne_4,2025-02-06 19:24:00,2025-02-06 19:59:00,33.6,walk_in,terminee
session_164,hub_casablanca,hub_casablanca_borne_2,2025-02-06 17:19:00,2025-02-06 18:34:00,34.4,reservee,terminee
session_165,hub_casablanca,hub_casablanca_borne_6,2025-02-06 17:06:00,2025-02-06 17:53:00,40.0,reservee,terminee
session_166,hub_casablanca,hub_casablanca_borne_1,2025-02-06 21:36:00,2025-02-06 23:01:00,39.3,reservee,terminee
session_167,hub_casablanca,hub_casablanca_borne_2,2025-02-07 13:49:00,2025-02-07 14:21:00,19.8,reservee,terminee
session_168,hub_casablanca,hub_casablanca_borne_4,2025-02-07 20:38:00,2025-02-07 22:07:00,40.0,reservee,terminee
session_169,hub_casablanca,hub_casablanca_borne_2,2025-02-07 22:42:00,2025-02-08 00:10:00,16.1,reservee,terminee
session_170,hub_casablanca,hub_casablanca_borne_3,2025-02-07 19:39:00,2025-02-07 20:23:00,32.6,walk_in,terminee
session_171,hub_casablanca,hub_casablanca_borne_1,2025-02-08 12:31:00,2025-02-08 12:55:00,6.8,reservee,terminee
session_172,hub_casablanca,hub_casablanca_borne_3,2025-02-08 13:02:00,2025-02-08 14:07:00,33.8,reservee,terminee
session_173,hub_casablanca,hub_casablanca_borne_1,2025-02-08 13:50:00,2025-02-08 15:07:00,23.9,walk_in,terminee
session_174,hub_casablanca,hub_casablanca_borne_1,2025-02-08 13:43:00,2025-02-08 14:21:00,31.3,reservee,terminee
session_175,hub_casablanca,hub_casablanca_borne_4,2025-02-08 14:27:00,2025-02-08 15:12:00,12.7,reservee,terminee
session_176,hub_casablanca,hub_casablanca_borne_5,2025-02-08 16:05:00,2025-02-08 16:37:00,11.1,walk_in,terminee
session_177,hub_casablanca,hub_casablanca_borne_6,2025-02-08 14:58:00,2025-02-08 15:27:00,27.9,reservee,terminee
session_178,hub_casablanca,hub_casablanca_borne_3,2025-02-08 14:57:00,2025-02-08 16:18:00,11.7,reservee,terminee
session_179,hub_casablanca,hub_casablanca_borne_3,2025-02-08 12:17:00,2025-02-08 13:28:00,24.8,reservee,terminee
session_180,hub_casablanca,hub_casablanca_borne_5,2025-02-09 10:28:00,2025-02-09 11:06:00,19.7,walk_in,terminee
session_181,hub_casablanca,hub_casablanca_borne_1,2025-02-09 09:33:00,2025-02-09 10:19:00,14.5,reservee,terminee
session_182,hub_casablanca,hub_casablanca_borne_2,2025-02-10 13:52:00,2025-02-10 14:57:00,11.0,walk_in,terminee
session_183,hub_casablanca,hub_casablanca_borne_3,2025-02-10 22:28:00,2025-02-10 23:53:00,7.1,reservee,terminee
session_184,hub_casablanca,hub_casablanca_borne_4,2025-02-10 14:40:00,2025-02-10 15:14:00,8.5,reservee,terminee
session_185,hub_casablanca,hub_casablanca_borne_3,2025-02-11 16:18:00,2025-02-11 17:03:00,6.9,reservee,terminee
session_186,hub_casablanca,hub_casablanca_borne_2,2025-02-11 20:12:00,2025-02-11 21:34:00,37.5,reservee,terminee
session_187,hub_casablanca,hub_casablanca_borne_5,2025-02-12 11:07:00,2025-02-12 12:26:00,31.4,walk_in,terminee
session_188,hub_casablanca,hub_casablanca_borne_4,2025-02-13 20:55:00,2025-02-13 21:55:00,33.2,reservee,terminee
session_189,hub_casablanca,hub_casablanca_borne_5,2025-02-13 14:29:00,2025-02-13 15:23:00,39.0,reservee,terminee
session_190,hub_casablanca,hub_casablanca_borne_3,2025-02-14 22:51:00,2025-02-14 23:52:00,17.6,reservee,terminee
session_191,hub_casablanca,hub_casablanca_borne_5,2025-02-14 21:37:00,2025-02-14 23:01:00,37.6,reservee,terminee
session_192,hub_casablanca,hub_casablanca_borne_2,2025-02-14 20:33:00,2025-02-14 21:25:00,28.1,reservee,terminee
session_193,hub_casablanca,hub_casablanca_borne_4,2025-02-15 16:22:00,2025-02-15 16:57:00,24.7,walk_in,terminee
session_194,hub_casablanca,hub_casablanca_borne_2,2025-02-15 11:54:00,2025-02-15 12:55:00,28.4,reservee,terminee
session_195,hub_casablanca,hub_casablanca_borne_4,2025-02-15 18:23:00,2025-02-15 19:47:00,25.3,reservee,terminee
session_196,hub_casablanca,hub_casablanca_borne_1,2025-02-15 18:33:00,2025-02-15 18:54:00,31.0,walk_in,terminee
session_197,hub_casablanca,hub_casablanca_borne_1,2025-02-16 14:19:00,2025-02-16 15:40:00,18.1,reservee,terminee
session_198,hub_casablanca,hub_casablanca_borne_2,2025-02-16 12:45:00,2025-02-16 13:39:00,23.8,walk_in,terminee
session_199,hub_casablanca,hub_casablanca_borne_6,2025-02-17 19:28:00,2025-02-17 20:27:00,39.4,walk_in,terminee
session_200,hub_casablanca,hub_casablanca_borne_3,2025-02-17 09:24:00,2025-02-17 09:52:00,32.8,walk_in,terminee
session_201,hub_casablanca,hub_casablanca_borne_4,2025-02-17 19:17:00,2025-02-17 20:38:00,5.8,reservee,terminee
session_202,hub_casablanca,hub_casablanca_borne_3,2025-02-17 21:09:00,2025-02-17 22:15:00,18.2,walk_in,terminee
session_203,hub_casablanca,hub_casablanca_borne_4,2025-02-17 18:27:00,2025-02-17 19:23:00,12.5,reservee,terminee
session_204,hub_casablanca,hub_casablanca_borne_2,2025-02-17 12:05:00,2025-02-17 13:31:00,19.2,walk_in,terminee
session_205,hub_casablanca,hub_casablanca_borne_4,2025-02-18 19:02:00,2025-02-18 19:59:00,39.8,walk_in,terminee
session_206,hub_casablanca,hub_casablanca_borne_1,2025-02-18 15:17:00,2025-02-18 16:40:00,6.6,walk_in,terminee
session_207,hub_casablanca,hub_casablanca_borne_5,2025-02-18 14:06:00,2025-02-18 14:30:00,34.2,reservee,terminee
session_208,hub_casablanca,hub_casablanca_borne_4,2025-02-18 16:33:00,2025-02-18 17:20:00,20.6,reservee,terminee
session_209,hub_casablanca,hub_casablanca_borne_2,2025-02-18 12:18:00,2025-02-18 12:51:00,15.0,walk_in,terminee
session_210,hub_casablanca,hub_casablanca_borne_1,2025-02-19 18:57:00,2025-02-19 20:06:00,21.9,reservee,terminee
session_211,hub_casablanca,hub_casablanca_borne_4,2025-02-19 17:21:00,2025-02-19 18:08:00,8.1,reservee,terminee
session_212,hub_casablanca,hub_casablanca_borne_5,2025-02-19 15:54:00,2025-02-19 16:56:00,6.2,reservee,terminee
session_213,hub_casablanca,hub_casablanca_borne_6,2025-02-19 12:57:00,2025-02-19 13:32:00,23.1,walk_in,terminee
session_214,hub_casablanca,hub_casablanca_borne_6,2025-02-19 21:02:00,2025-02-19 21:32:00,7.2,reservee,terminee
session_215,hub_casablanca,hub_casablanca_borne_4,2025-02-19 20:53:00,2025-02-19 21:50:00,26.9,reservee,terminee
session_216,hub_casablanca,hub_casablanca_borne_5,2025-02-19 22:50:00,2025-02-20 00:16:00,17.2,reservee,terminee
session_217,hub_casablanca,hub_casablanca_borne_1,2025-02-19 22:25:00,2025-02-19 23:51:00,18.2,walk_in,terminee
session_218,hub_casablanca,hub_casablanca_borne_4,2025-02-19 19:18:00,2025-02-19 20:23:00,28.5,reservee,terminee
session_219,hub_casablanca,hub_casablanca_borne_2,2025-02-20 15:29:00,2025-02-20 16:25:00,22.8,reservee,terminee
